../..                                    | Progress: resolved 1452, reused 402, downloaded 9, added 0
../..                                    | Progress: resolved 1454, reused 404, downloaded 9, added 0
../..                                    | Progress: resolved 1454, reused 405, downloaded 9, added 0
../..                                    | Progress: resolved 1457, reused 407, downloaded 9, added 0
../..                                    | Progress: resolved 1457, reused 408, downloaded 9, added 0
../..                                    | Progress: resolved 1457, reused 409, downloaded 9, added 0
../..                                    | Progress: resolved 1458, reused 409, downloaded 9, added 0
../..                                    | Progress: resolved 1459, reused 411, downloaded 9, added 0
../..                                    | Progress: resolved 1460, reused 412, downloaded 9, added 0
../..                                    | Progress: resolved 1463, reused 416, downloaded 9, added 0
../..                                    | Progress: resolved 1465, reused 418, downloaded 9, added 0
../..                                    | Progress: resolved 1480, reused 420, downloaded 9, added 0
../..                                    | Progress: resolved 1483, reused 423, downloaded 9, added 0
../..                                    | Progress: resolved 1485, reused 425, downloaded 9, added 0
../..                                    | Progress: resolved 1487, reused 427, downloaded 9, added 0
../..                                    | Progress: resolved 1490, reused 430, downloaded 9, added 0
../..                                    | Progress: resolved 1496, reused 431, downloaded 9, added 0
../..                                    | Progress: resolved 1506, reused 434, downloaded 9, added 0
../..                                    | Progress: resolved 1512, reused 440, downloaded 9, added 0
../..                                    | Progress: resolved 1517, reused 448, downloaded 9, added 0
../..                                    | Progress: resolved 1518, reused 450, downloaded 9, added 0
../..                                    | Progress: resolved 1519, reused 450, downloaded 9, added 0
../..                                    | Progress: resolved 1520, reused 453, downloaded 9, added 0
../..                                    | Progress: resolved 1520, reused 454, downloaded 9, added 0
../..                                    | Progress: resolved 1521, reused 454, downloaded 9, added 0
../..                                    | Progress: resolved 1523, reused 458, downloaded 9, added 0
../..                                    | Progress: resolved 1527, reused 471, downloaded 9, added 0
../..                                    | Progress: resolved 1533, reused 480, downloaded 9, added 0
../..                                    | Progress: resolved 1539, reused 489, downloaded 9, added 0
../..                                    | Progress: resolved 1546, reused 494, downloaded 9, added 0
../..                                    | Progress: resolved 1549, reused 497, downloaded 9, added 0
../..                                    | Progress: resolved 1553, reused 501, downloaded 9, added 0
../..                                    | Progress: resolved 1559, reused 507, downloaded 9, added 0
../..                                    | Progress: resolved 1563, reused 512, downloaded 9, added 0
../..                                    | Progress: resolved 1567, reused 517, downloaded 9, added 0
../..                                    | Progress: resolved 1568, reused 519, downloaded 9, added 0
../..                                    | Progress: resolved 1568, reused 521, downloaded 9, added 0
../..                                    | Progress: resolved 1568, reused 522, downloaded 9, added 0
../..                                    | Progress: resolved 1568, reused 523, downloaded 9, added 0
../..                                    | Progress: resolved 1568, reused 524, downloaded 9, added 0
../..                                    | Progress: resolved 1568, reused 525, downloaded 9, added 0
../..                                    | Progress: resolved 1568, reused 526, downloaded 9, added 0
../..                                    | Progress: resolved 1568, reused 527, downloaded 9, added 0
../..                                    | Progress: resolved 1569, reused 542, downloaded 9, added 0
../..                                    | Progress: resolved 1569, reused 546, downloaded 9, added 0
../..                                    | Progress: resolved 1569, reused 551, downloaded 9, added 0
../..                                    | Progress: resolved 1569, reused 559, downloaded 9, added 0
../..                                    | Progress: resolved 1569, reused 562, downloaded 9, added 0
../..                                    | Progress: resolved 1569, reused 563, downloaded 9, added 0
../..                                    | Progress: resolved 1569, reused 564, downloaded 9, added 0
../..                                    | Progress: resolved 1569, reused 565, downloaded 9, added 0
../..                                    | Progress: resolved 1569, reused 568, downloaded 9, added 0
../..                                    | Progress: resolved 1569, reused 571, downloaded 9, added 0
../..                                    | Progress: resolved 1569, reused 575, downloaded 9, added 0
../..                                    | Progress: resolved 1569, reused 576, downloaded 9, added 0
../..                                    | Progress: resolved 1569, reused 586, downloaded 9, added 0
../..                                    | Progress: resolved 1569, reused 587, downloaded 9, added 0
../..                                    | Progress: resolved 1569, reused 603, downloaded 9, added 0
../..                                    | Progress: resolved 1569, reused 613, downloaded 9, added 0
../..                                    | Progress: resolved 1569, reused 620, downloaded 9, added 0
../..                                    | Progress: resolved 1569, reused 692, downloaded 9, added 0
../..                                    | Progress: resolved 1569, reused 693, downloaded 9, added 0
../..                                    | Progress: resolved 1570, reused 702, downloaded 9, added 0
../..                                    | Progress: resolved 1570, reused 705, downloaded 9, added 0
../..                                    | Progress: resolved 1570, reused 706, downloaded 9, added 0
../..                                    | Progress: resolved 1570, reused 707, downloaded 9, added 0
../..                                    | Progress: resolved 1570, reused 712, downloaded 9, added 0
../..                                    | Progress: resolved 1572, reused 721, downloaded 9, added 0
../..                                    | Progress: resolved 1574, reused 724, downloaded 9, added 0
../..                                    | Progress: resolved 1575, reused 727, downloaded 9, added 0
../..                                    | Progress: resolved 1578, reused 735, downloaded 9, added 0
../..                                    | Progress: resolved 1581, reused 741, downloaded 9, added 0
../..                                    | Progress: resolved 1582, reused 746, downloaded 9, added 0
../..                                    | Progress: resolved 1582, reused 755, downloaded 9, added 0
../..                                    | Progress: resolved 1582, reused 765, downloaded 9, added 0
../..                                    | Progress: resolved 1582, reused 767, downloaded 9, added 0
../..                                    | Progress: resolved 1582, reused 768, downloaded 9, added 0
../..                                    | Progress: resolved 1582, reused 769, downloaded 9, added 0
../..                                    | Progress: resolved 1582, reused 774, downloaded 9, added 0
../..                                    | Progress: resolved 1582, reused 778, downloaded 9, added 0
../..                                    | Progress: resolved 1583, reused 779, downloaded 9, added 0
../..                                    | Progress: resolved 1588, reused 785, downloaded 9, added 0
../..                                    | Progress: resolved 1588, reused 788, downloaded 9, added 0
../..                                    | Progress: resolved 1590, reused 793, downloaded 9, added 0
../..                                    | Progress: resolved 1590, reused 798, downloaded 9, added 0
../..                                    | Progress: resolved 1590, reused 803, downloaded 9, added 0
../..                                    | Progress: resolved 1593, reused 811, downloaded 9, added 0
../..                                    | Progress: resolved 1593, reused 815, downloaded 9, added 0
../..                                    | Progress: resolved 1593, reused 817, downloaded 9, added 0
../..                                    | Progress: resolved 1593, reused 819, downloaded 9, added 0
../..                                    | Progress: resolved 1595, reused 821, downloaded 9, added 0
../..                                    | Progress: resolved 1598, reused 824, downloaded 9, added 0
../..                                    | Progress: resolved 1601, reused 828, downloaded 9, added 0
../..                                    | Progress: resolved 1602, reused 829, downloaded 9, added 0
../..                                    | Progress: resolved 1603, reused 830, downloaded 9, added 0
../..                                    | Progress: resolved 1604, reused 831, downloaded 9, added 0
../..                                    | Progress: resolved 1605, reused 832, downloaded 9, added 0
../..                                    | Progress: resolved 1605, reused 833, downloaded 9, added 0
../..                                    | Progress: resolved 1607, reused 835, downloaded 9, added 0
../..                                    | Progress: resolved 1608, reused 837, downloaded 9, added 0
../..                                    | Progress: resolved 1608, reused 839, downloaded 9, added 0
../..                                    | Progress: resolved 1608, reused 840, downloaded 9, added 0
../..                                    | Progress: resolved 1608, reused 846, downloaded 9, added 0
../..                                    | Progress: resolved 1608, reused 852, downloaded 9, added 0
../..                                    | Progress: resolved 1608, reused 857, downloaded 9, added 0
../..                                    | Progress: resolved 1608, reused 873, downloaded 9, added 0
../..                                    | Progress: resolved 1608, reused 933, downloaded 9, added 0
../..                                    | Progress: resolved 1608, reused 962, downloaded 9, added 0
../..                                    | Progress: resolved 1608, reused 970, downloaded 9, added 0
../..                                    | Progress: resolved 1608, reused 998, downloaded 9, added 0
../..                                    | Progress: resolved 1608, reused 999, downloaded 9, added 0
../..                                    | Progress: resolved 1608, reused 1000, downloaded 9, added 0
../..                                    | Progress: resolved 1608, reused 1016, downloaded 9, added 0
../..                                    | Progress: resolved 1608, reused 1022, downloaded 9, added 0
../..                                    | Progress: resolved 1608, reused 1030, downloaded 9, added 0
../..                                    | Progress: resolved 1608, reused 1037, downloaded 9, added 0
../..                                    | Progress: resolved 1608, reused 1040, downloaded 9, added 0
../..                                    | Progress: resolved 1608, reused 1041, downloaded 9, added 0
../..                                    | Progress: resolved 1608, reused 1042, downloaded 9, added 0
../..                                    | Progress: resolved 1608, reused 1043, downloaded 9, added 0
../..                                    | Progress: resolved 1608, reused 1044, downloaded 9, added 0
../..                                    | Progress: resolved 1608, reused 1051, downloaded 9, added 0
../..                                    | Progress: resolved 1608, reused 1056, downloaded 9, added 0
../..                                    | Progress: resolved 1608, reused 1064, downloaded 9, added 0
../..                                    | Progress: resolved 1608, reused 1071, downloaded 9, added 0
../..                                    | Progress: resolved 1608, reused 1080, downloaded 9, added 0
../..                                    | Progress: resolved 1608, reused 1088, downloaded 9, added 0
../..                                    | Progress: resolved 1608, reused 1095, downloaded 9, added 0
../..                                    | Progress: resolved 1608, reused 1097, downloaded 9, added 0
../..                                    | Progress: resolved 1608, reused 1103, downloaded 9, added 0
../..                                    | Progress: resolved 1608, reused 1107, downloaded 9, added 0
../..                                    | Progress: resolved 1608, reused 1143, downloaded 9, added 0
../..                                    | Progress: resolved 1608, reused 1168, downloaded 9, added 0
../..                                    | Progress: resolved 1608, reused 1201, downloaded 9, added 0
../..                                    | Progress: resolved 1610, reused 1204, downloaded 9, added 0
../..                                    | Progress: resolved 1611, reused 1217, downloaded 9, added 0
../..                                    | Progress: resolved 1612, reused 1220, downloaded 9, added 0
../..                                    | Progress: resolved 1612, reused 1222, downloaded 9, added 0
../..                                    | Progress: resolved 1612, reused 1223, downloaded 9, added 0
../..                                    | Progress: resolved 1612, reused 1227, downloaded 9, added 0
../..                                    | Progress: resolved 1612, reused 1230, downloaded 9, added 0
../..                                    | Progress: resolved 1612, reused 1237, downloaded 9, added 0
../..                                    | Progress: resolved 1612, reused 1241, downloaded 9, added 0
../..                                    | Progress: resolved 1612, reused 1243, downloaded 9, added 0
../..                                    | Progress: resolved 1612, reused 1253, downloaded 9, added 0
../..                                    | Progress: resolved 1612, reused 1266, downloaded 9, added 0
../..                                    | Progress: resolved 1614, reused 1271, downloaded 9, added 0
../..                                    | Progress: resolved 1616, reused 1278, downloaded 9, added 0
../..                                    | Progress: resolved 1617, reused 1287, downloaded 9, added 0
../..                                    | Progress: resolved 1626, reused 1299, downloaded 9, added 0
../..                                    | Progress: resolved 1628, reused 1305, downloaded 9, added 0
../..                                    | Progress: resolved 1629, reused 1306, downloaded 9, added 0
../..                                    | Progress: resolved 1629, reused 1315, downloaded 9, added 0
../..                                    | Progress: resolved 1629, reused 1329, downloaded 9, added 0
../..                                    | Progress: resolved 1629, reused 1345, downloaded 9, added 0
../..                                    | Progress: resolved 1629, reused 1357, downloaded 9, added 0
../..                                    | Progress: resolved 1637, reused 1368, downloaded 9, added 0
../..                                    | Progress: resolved 1639, reused 1374, downloaded 9, added 0
../..                                    | Progress: resolved 1640, reused 1384, downloaded 9, added 0
../..                                    | Progress: resolved 1640, reused 1390, downloaded 9, added 0
../..                                    | Progress: resolved 1640, reused 1399, downloaded 9, added 0
../..                                    | Progress: resolved 1640, reused 1404, downloaded 9, added 0
../..                                    | Progress: resolved 1640, reused 1412, downloaded 9, added 0
../..                                    | Progress: resolved 1640, reused 1417, downloaded 9, added 0
